Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Access FAQ Page,Chrome 80.0.3987.132,,,2020-03-13 10:25:26,2020-03-13 10:26:37,1m - 10.286s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/Customer Access FAQ (Booking) Page,Chrome 80.0.3987.132,,faq,2020-03-13 10:25:26,2020-03-13 10:26:01,34.922s,PASSED
"openBrowser("""")",Chrome 80.0.3987.132,,,2020-03-13 10:25:27,2020-03-13 10:25:33,6.678s,PASSED
"navigateToUrl(""https://web.roomme.id/"")",Chrome 80.0.3987.132,,,2020-03-13 10:25:33,2020-03-13 10:25:35,1.930s,PASSED
maximizeWindow(),Chrome 80.0.3987.132,,,2020-03-13 10:25:35,2020-03-13 10:25:40,4.144s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:40,2020-03-13 10:25:40,0.680s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:40,2020-03-13 10:25:42,1.700s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/Verify Header RoomMe.id""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-13 10:25:42,2020-03-13 10:25:44,2.220s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button FAQs""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:44,2020-03-13 10:25:44,0.289s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms  Conditions""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:44,2020-03-13 10:25:45,0.696s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms of Use""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:45,2020-03-13 10:25:45,0.282s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Disclaimer""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:45,2020-03-13 10:25:46,0.278s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Privacy Policy""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:46,2020-03-13 10:25:46,0.311s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Booking""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:46,2020-03-13 10:25:46,0.298s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Payment""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:46,2020-03-13 10:25:47,0.509s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q1""))",Chrome 80.0.3987.132,,,2020-03-13 10:25:47,2020-03-13 10:25:47,0.276s,PASSED
