Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Sign Up,,,,2020-04-28 05:40:32,2020-04-28 05:40:49,17.618s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/1. Sign Up with Valid Data,,,,2020-04-28 05:40:32,2020-04-28 05:40:37,4.610s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:33,2020-04-28 05:40:37,3.868s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/5. Customer Input Phone Number with Invalid Format,,,,2020-04-28 05:40:37,2020-04-28 05:40:39,1.866s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:37,2020-04-28 05:40:39,1.465s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/3. Customer Input Name Field with Invalid Format,,,,2020-04-28 05:40:39,2020-04-28 05:40:40,1.903s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:39,2020-04-28 05:40:40,1.546s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/4. Customer Input Email with Invalid Format,,,,2020-04-28 05:40:41,2020-04-28 05:40:43,2.015s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:41,2020-04-28 05:40:43,1.610s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/5. Customer Input Phone Number with Invalid Format,,,,2020-04-28 05:40:43,2020-04-28 05:40:44,1.453s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:43,2020-04-28 05:40:44,1.436s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/6. Customer Input Password with Invalid Format,,,,2020-04-28 05:40:44,2020-04-28 05:40:46,1.715s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:44,2020-04-28 05:40:46,1.366s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/7. Customer Input Confirm Password with Invalid Format,,,,2020-04-28 05:40:46,2020-04-28 05:40:48,1.829s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:46,2020-04-28 05:40:48,1.503s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/2. Sign Up/8. Sign Up with Already Registered Email,,,,2020-04-28 05:40:48,2020-04-28 05:40:49,1.798s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",,,,2020-04-28 05:40:48,2020-04-28 05:40:49,1.498s,FAILED
