Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:51,0.038s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/3. Customer Search For Kost 1 Month 2 Days,Firefox 75.0,,,2020-04-27 02:30:51,2020-04-27 02:31:21,30.054s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:30:51,2020-04-27 02:31:11,20.100s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:31:11,2020-04-27 02:31:13,1.832s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:31:13,2020-04-27 02:31:14,1.430s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:31:14,2020-04-27 02:31:15,0.854s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:31:15,2020-04-27 02:31:16,0.870s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:31:16,2020-04-27 02:31:17,0.821s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button 1 Month""))",Firefox 75.0,,,2020-04-27 02:31:17,2020-04-27 02:31:17,0.588s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:31:17,2020-04-27 02:31:18,0.509s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Days""))",Firefox 75.0,,,2020-04-27 02:31:18,2020-04-27 02:31:18,0.566s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:31:18,2020-04-27 02:31:21,2.165s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.000s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.001s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:21,0.030s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/4. Customer Search For Kost 2 Months 0 Day,Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:51,30.537s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:31:21,2020-04-27 02:31:42,20.678s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:31:42,2020-04-27 02:31:43,1.889s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:31:43,2020-04-27 02:31:45,1.263s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:31:45,2020-04-27 02:31:46,1.266s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:31:46,2020-04-27 02:31:47,0.884s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:31:47,2020-04-27 02:31:48,0.855s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Months""))",Firefox 75.0,,,2020-04-27 02:31:48,2020-04-27 02:31:48,0.648s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:31:48,2020-04-27 02:31:49,0.534s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Button 2 Days""))",Firefox 75.0,,,2020-04-27 02:31:49,2020-04-27 02:31:49,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:31:49,2020-04-27 02:31:51,2.242s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.000s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:31:51,0.017s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/5. Customer Search For Kost 2 Months 1 Day,Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:32:23,31.465s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:31:51,2020-04-27 02:32:13,21.625s,PASSED
