Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Access FAQ Page,Chrome 80.0.3987.132,,,2020-03-12 09:44:22,2020-03-12 09:45:31,1m - 8.738s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/Customer Access FAQ (Booking) Page,Chrome 80.0.3987.132,,faq,2020-03-12 09:44:23,2020-03-12 09:44:57,34.721s,PASSED
"openBrowser("""")",Chrome 80.0.3987.132,,,2020-03-12 09:44:23,2020-03-12 09:44:29,6.304s,PASSED
"navigateToUrl(""https://web.roomme.id/"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:29,2020-03-12 09:44:32,2.524s,PASSED
maximizeWindow(),Chrome 80.0.3987.132,,,2020-03-12 09:44:32,2020-03-12 09:44:36,4.157s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:36,2020-03-12 09:44:37,0.776s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:37,2020-03-12 09:44:38,1.352s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/Verify Header RoomMe.id""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-12 09:44:38,2020-03-12 09:44:40,1.981s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button FAQs""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:40,2020-03-12 09:44:40,0.301s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms  Conditions""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:40,2020-03-12 09:44:41,0.697s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms of Use""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:41,2020-03-12 09:44:41,0.284s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Disclaimer""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:41,2020-03-12 09:44:42,0.288s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Privacy Policy""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:42,2020-03-12 09:44:42,0.293s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Booking""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:42,2020-03-12 09:44:42,0.279s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Payment""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:42,2020-03-12 09:44:43,0.584s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q1""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:43,2020-03-12 09:44:43,0.274s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q1""), ""Can I make a room booking at kost RoomMe ?"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:43,2020-03-12 09:44:43,0.286s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A1""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:43,2020-03-12 09:44:44,0.280s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A1""), ""Yes, you can browse through ourlisting for available rooms."")",Chrome 80.0.3987.132,,,2020-03-12 09:44:44,2020-03-12 09:44:44,0.275s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:44,2020-03-12 09:44:44,0.299s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""), ""Can I survey the place prior to making payments ?"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:44,2020-03-12 09:44:44,0.299s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:44,2020-03-12 09:44:45,0.356s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A2""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:45,2020-03-12 09:44:46,0.842s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A2""), ""Yes you may and we encourage you to do so! Our survey sessions are held every Monday-Sunday, from 8AM-10PM"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:46,2020-03-12 09:44:46,0.304s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:46,2020-03-12 09:44:46,0.294s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""), ""What consist of the standard facilities provided by RoomMe ?"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:46,2020-03-12 09:44:47,0.282s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:47,2020-03-12 09:44:47,0.338s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A3""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:47,2020-03-12 09:44:47,0.304s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A3""), id Text Data"").getValue(1, 1))",Chrome 80.0.3987.132,,,2020-03-12 09:44:47,2020-03-12 09:44:48,0.962s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q4""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:48,2020-03-12 09:44:48,0.292s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q4""), ""What if I want to move out of my kost before my stay period is over ?"")",Chrome 80.0.3987.132,,,2020-03-12 09:44:48,2020-03-12 09:44:49,0.278s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q4""))",Chrome 80.0.3987.132,,,2020-03-12 09:44:49,2020-03-12 09:44:49,0.334s,PASSED
